37791.166 IndBall = 10	| H = 26717.09821	 VH = 263.10555	 AH = -19.28248 |	A = 28512.10948	Ac = 28274.12015	Ac_pred = 28036.13082	delta_Ac = 0.00849	D = 42865.72189	lambda = 16.17752	TType = 1
37791.169 IndBall = 1	| H = 30213.42483	 VH = 918.81713	 AH = -5.93765 |	A = 101304.19572	Ac = 92480.88307	Ac_pred = 83657.57041	delta_Ac = 0.10547	D = 440317.06648	throw_angle = 27.06369	TType = 0
37791.172 IndBall = 10	| H = 26491.59039	 VH = 235.44422	 AH = -21.48930 |	A = 27781.39456	Ac = 28027.75735	Ac_pred = 28274.12015	delta_Ac = 0.00879	D = 42865.72189	lambda = 16.03656	TType = 1
37791.172 IndBall = 1	| H = 31087.20085	 VH = 899.88968	 AH = -13.71826 |	A = 60602.66304	Ac = 76541.77305	Ac_pred = 92480.88307	delta_Ac = 0.20824	D = 440317.06648	throw_angle = 27.06369	TType = 0
37791.175 IndBall = 1	| H = 31087.20085	 VH = 899.88968	 AH = -13.71826 |	A = 60602.66304	Ac = 68572.21805	Ac_pred = 76541.77305	delta_Ac = 0.11622	D = 440317.06648	throw_angle = 27.06369	TType = 0
37791.177 IndBall = 1	| H = 31087.20085	 VH = 899.88968	 AH = -13.71826 |	A = 60602.66304	Ac = 64587.44055	Ac_pred = 68572.21805	delta_Ac = 0.06170	D = 440317.06648	throw_angle = 27.06369	TType = 0
37791.181 IndBall = 1	| H = 31087.20085	 VH = 899.88968	 AH = -13.71826 |	A = 60602.66304	Ac = 62595.05179	Ac_pred = 64587.44055	delta_Ac = 0.03183	D = 440317.06648	throw_angle = 27.06369	TType = 0
37791.184 IndBall = 1	| H = 31087.20085	 VH = 899.88968	 AH = -13.71826 |	A = 60602.66304	Ac = 61598.85742	Ac_pred = 62595.05179	delta_Ac = 0.01617	D = 440317.06648	lambda = 6.90139	TType = 3
37791.230 IndBall = 0	| H = 57970.17943	 VH = 1816.77270	 AH = -11.18792 |	A = 205480.30565	Ac = 102740.15283	Ac_pred = 0.00000	delta_Ac = 10274015.28262	D = 782881.54367	throw_angle = 45.06449	TType = 0
37791.234 IndBall = 0	| H = 57970.17943	 VH = 1816.77270	 AH = -11.18792 |	A = 205480.30565	Ac = 154110.22924	Ac_pred = 102740.15283	delta_Ac = 0.50000	D = 784506.07730	throw_angle = 45.72194	TType = 0
37791.238 IndBall = 0	| H = 57970.17943	 VH = 1816.77270	 AH = -11.18792 |	A = 205480.30565	Ac = 179795.26745	Ac_pred = 154110.22924	delta_Ac = 0.16667	D = 784506.07730	throw_angle = 45.86354	TType = 0
37791.241 IndBall = 0	| H = 57970.17943	 VH = 1816.77270	 AH = -11.18792 |	A = 205480.30565	Ac = 192637.78655	Ac_pred = 179795.26745	delta_Ac = 0.07143	D = 784506.07730	throw_angle = 45.86354	TType = 0
37791.243 IndBall = 0	| H = 57970.17943	 VH = 1816.77270	 AH = -11.18792 |	A = 205480.30565	Ac = 199059.04610	Ac_pred = 192637.78655	delta_Ac = 0.03333	D = 784506.07730	throw_angle = 45.86354	TType = 0
37791.247 IndBall = 0	| H = 58887.50584	 VH = 1805.65644	 AH = -10.03915 |	A = 221271.51481	Ac = 210165.28045	Ac_pred = 199059.04610	delta_Ac = 0.05579	D = 784506.07730	throw_angle = 45.86354	TType = 0
37791.249 IndBall = 0	| H = 58887.50584	 VH = 1805.65644	 AH = -10.03915 |	A = 221271.51481	Ac = 215718.39763	Ac_pred = 210165.28045	delta_Ac = 0.02642	D = 784506.07730	throw_angle = 45.86354	TType = 0
37791.252 IndBall = 0	| H = 58887.50584	 VH = 1805.65644	 AH = -10.03915 |	A = 221271.51481	Ac = 218494.95622	Ac_pred = 215718.39763	delta_Ac = 0.01287	D = 784506.07730	lambda = 16.33894	TType = 1
37791.255 IndBall = 0	| H = 58887.50584	 VH = 1805.65644	 AH = -10.03915 |	A = 221271.51481	Ac = 219883.23551	Ac_pred = 218494.95622	delta_Ac = 0.00635	D = 784506.07730	lambda = 16.44276	TType = 1
37791.260 IndBall = 0	| H = 60733.86453	 VH = 1796.70013	 AH = -9.50222 |	A = 230595.74972	Ac = 225239.49262	Ac_pred = 219883.23551	delta_Ac = 0.02436	D = 784506.07730	throw_angle = 45.86354	TType = 0
37791.264 IndBall = 0	| H = 60733.86453	 VH = 1796.70013	 AH = -9.50222 |	A = 230595.74972	Ac = 227917.62117	Ac_pred = 225239.49262	delta_Ac = 0.01189	D = 784506.07730	lambda = 17.04357	TType = 1
37791.308 IndBall = 9	| H = 62925.07510	 VH = 1755.70849	 AH = -2.24125 |	A = 750600.61715	Ac = 375300.30857	Ac_pred = 0.00000	delta_Ac = 37530030.85727	D = 759619.94849	throw_angle = 0.00000	TType = 0
37791.313 IndBall = 9	| H = 62925.07510	 VH = 1755.70849	 AH = -2.24125 |	A = 750600.61715	Ac = 562950.46286	Ac_pred = 375300.30857	delta_Ac = 0.50000	D = 741114.25139	throw_angle = 45.88579	TType = 0
37791.316 IndBall = 9	| H = 62925.07510	 VH = 1755.70849	 AH = -2.24125 |	A = 750600.61715	Ac = 656775.54000	Ac_pred = 562950.46286	delta_Ac = 0.16667	D = 741114.25139	throw_angle = 46.59744	TType = 0
37791.319 IndBall = 9	| H = 64528.10780	 VH = 1728.84195	 AH = -13.27332 |	A = 177118.43886	Ac = 416946.98943	Ac_pred = 656775.54000	delta_Ac = 0.57520	D = 741114.25139	throw_angle = 46.59744	TType = 0
37791.324 IndBall = 9	| H = 64528.10780	 VH = 1728.84195	 AH = -13.27332 |	A = 177118.43886	Ac = 297032.71414	Ac_pred = 416946.98943	delta_Ac = 0.40371	D = 741114.25139	throw_angle = 46.59744	TType = 0
